"ID","Severity","Category","Route","File","Finding","Evidence","Recommendation","Estimated Size","Codex Implementable","External Dependency","Status"
"F-001","P0","Deployment / SEO","All public routes",".env.local.example:1; README.md:27; content/seo.ts:5; app/robots.ts:4; app/api/contact/route.ts:93,108","The intended broey.net production domain is not serving the site, while application URLs use broey.com, which redirects to a domain-sale page.","2026-08-05 DNS/HTTP checks: broey.net unresolved; www.broey.net NXDOMAIN; broey.com resolved and returned 302 to https://www.atom.com/name/Broey. Built canonical, robots, sitemap, JSON-LD, and share URLs used https://broey.com.","Confirm domain ownership; attach apex/www to Vercel; configure DNS/TLS/canonical redirect; update all origin fallbacks and Vercel NEXT_PUBLIC_SITE_URL; redeploy and verify public metadata.","M","Partly","Owner domain/registrar and Vercel access","Open"
"F-002","P1","Build / Security","All","package.json; package-lock.json","The deployed dependency tree contains high-severity Next.js/PostCSS advisories.","npm audit --omit=dev --audit-level=low exited 1 with 2 high vulnerabilities; npm suggested a breaking Next 16.3.0 path.","Choose a supported patched framework path in an isolated change and rerun lint, type check, build, route, browser, accessibility, and Lighthouse validation.","XL","Yes","Owner risk/upgrade approval","Open"
"F-003","P1","Security / Forms","/contact; newsletter forms","components/sections/ContactForm.tsx:18,114-123; app/api/contact/route.ts:121-162; app/api/newsletter/route.ts","Public forms do not have a complete abuse-control strategy.","Contact has honeypot and optional Turnstile, but both local Turnstile variables were absent; newsletter has honeypot only; neither API implements rate limiting.","Configure matched Turnstile/equivalent controls and add server/edge throttling with documented quota and failure behavior.","M","Yes","Cloudflare/Vercel credentials and quota decisions","Open"
"F-004","P1","Privacy","/contact; newsletter; site-wide footer","app/contact/page.tsx; components/site/Footer.tsx; app/api/contact/route.ts; app/api/newsletter/route.ts","The site collects personal contact/newsletter data without a public privacy notice or policy link.","No privacy or terms route/link was discovered; forms send data to Resend and MailerLite.","Publish owner/legal-approved disclosure covering purpose, providers, retention/contact, consent, and unsubscribe rights; link it in the footer and at collection points.","M","Partly","Owner/legal copy approval","Open"
"F-005","P1","Functionality / Consent","/contact","components/sections/ContactForm.tsx:145-148; app/api/contact/route.ts:97,112,260,337","The contact email-updates checkbox does not subscribe the visitor.","The UI offers updates, but the API only copies updatesOptIn into the Resend message and never calls MailerLite.","Implement explicit consented MailerLite subscription with correct status handling and records, or remove the checkbox/promise.","M","Yes","Owner choice and MailerLite behavior","Open"
"F-006","P1","Content / SEO","/watch","content/watch.ts:27,65,70,75; app/watch/page.tsx","A public, indexable Watch route exposes unfinished placeholder/status content.","HTTP 200 and canonical metadata; visible text includes Video archive coming soon, Coming soon, Queued, and In progress; route is hidden from nav/sitemap but not noindex.","For the smallest V1, return not found or noindex/restrict the route until final videos and copy are approved.","S","Yes","Owner content decision","Open"
"F-007","P1","Content / Discoverability","/; /music/link","content/releases.ts:513-524","LiNK is highlighted/indexed while copy says its public platform links are pending verification.","LiNK appears in the home carousel and sitemap; only local radio edit/Disco access is available and several fields explicitly say pending.","Verify and publish intended public destinations and final copy, or remove LiNK from highlighted/indexable V1 surfaces.","S","Yes","Owner/distributor link approval","Open"
"F-008","P1","Content / SEO","/music/paradise","content/releases.ts:2439-2487 (cover alt at 2456)","Paradise is indexable/in the sitemap with placeholder artwork and no local cover/audio.","Route returned 200; coverAlt says Paradise artwork pending. External streaming links were reachable, but visible metadata/content communicates incompleteness.","Add approved artwork/content or temporarily exclude/noindex the page for V1.","S","Yes","Owner artwork/content approval","Open"
"F-009","P2","Deployment / Preview Safety","/gate; all previews","lib/site-visibility.ts:7-13; README.md:47","SITE_VISIBILITY documentation and runtime behavior disagree.","README says private enables gate/noindex/empty sitemap, but helper returns public/false constants and local SITE_VISIBILITY=private had no effect; /gate redirected to /.","Restore environment-aware visibility behavior and verify Production public plus Preview private/noindex policies.","M","Yes","Vercel environment scoping","Open"
"F-010","P2","SEO","22 /music project-track routes","app/music/[slug]/page.tsx; app/sitemap.ts; content/releases.ts","Project-track indexability is inconsistent with sitemap policy.","Twenty-two generated routes return 200 and are internally linked/indexable, but are omitted from the 23-URL sitemap; a content indexing field is not applied consistently.","Decide index versus noindex for project tracks and drive metadata, sitemap, and internal linking from one explicit policy.","M","Yes","Owner SEO/catalog decision","Open"
"F-011","P2","Accessibility / Navigation","Site-wide mobile header","components/site/Header.tsx","Mobile-menu keyboard and focus behavior is incomplete.","Browser test: menu opened and aria-expanded changed, but Escape left it open; source review found no focus capture/return or outside-dismiss handling.","Add Escape handling, initial/focus containment as appropriate, trigger focus return, and test keyboard/screen-reader behavior.","M","Yes","None","Open"
"F-012","P2","Accessibility / Responsive","Site-wide","components/site/Header.tsx; components/ui/ReleaseCarouselTile.tsx; app/globals.css","Several interactive targets are shorter than the recommended 44 CSS px.","Measured examples: menu button about 36 px high; release Open link about 25 px high; additional press/footer targets were short though often wide.","Increase hit areas while preserving the visual design and retest mobile spacing/overlap.","S","Yes","None","Open"
"F-013","P2","Quality Assurance","All","package.json; .github/workflows (absent)","The repository has no automated tests, format script, or CI workflow.","npm test and npm run format both exited 1 with Missing script; no GitHub Actions workflows were found.","Add focused unit/integration/browser tests and CI that runs lint, strict type check, tests, and production build.","L","Yes","CI provider/owner workflow preference","Open"
"F-014","P2","Security","All responses","next.config.js","Repository-defined production security headers are absent.","Local responses lacked CSP, HSTS, Referrer-Policy, Permissions-Policy, and X-Content-Type-Options and exposed X-Powered-By: Next.js; no headers() configuration was found.","Define a production-appropriate CSP/header policy, disable powered-by disclosure, and verify final Vercel responses without breaking embeds/media.","M","Yes","Vercel final-response verification","Open"
"F-015","P2","Development Security","Tooling/scripts","package.json; package-lock.json","The full development dependency tree contains additional high advisories.","npm audit --audit-level=low exited 1 with 8 high vulnerabilities total, including xlsx with no npm fix.","Remove/replace unused vulnerable tooling, isolate local-only scripts, or document accepted containment; keep production audit separate.","M","Yes","Owner tooling/data workflow decision","Open"
"F-016","P2","Integration / Maintenance","/merch","lib/shopify-merch.ts:5,222","Shopify Storefront API version falls forward instead of honoring the requested pinned version.","Code requests 2025-01; successful response reported 2025-10. Catalog returned six products, but compatibility is relying on Shopify fall-forward behavior.","Move to a currently supported pinned API version and regression-test product parsing, fallback behavior, and checkout links.","M","Yes","Shopify API lifecycle/account","Open"
"F-017","P2","Performance","/; release/share pages","public; components/ui/ReleaseCarouselTile.tsx:200-207","Large source/social assets and a lazy home LCP candidate add avoidable transfer risk.","Public assets total about 322.6 MB; some art is 3-3.8 MB at 3000-4320 px. Lighthouse flagged the home LCP image as lazy; mobile LCP was 2.4 s.","Optimize oversized art/social files, retain suitable resolution/quality, and mark only the initially visible LCP image for priority loading.","L","Yes","Owner visual-quality approval","Open"
"F-018","P2","Performance / CDN","Audio and static media","public/assets/audio; Vercel configuration","Production cache behavior for large static media is unverified and local caching is conservative.","Audio byte-range test returned 206/Accept-Ranges, but local static media returned Cache-Control: max-age=0.","Verify Vercel immutable/CDN caching for versioned media; add safe cache rules or fingerprinting and retest range/seek behavior.","M","Yes","Vercel CDN behavior","Open"
"F-019","P2","Reliability / UX","404 and async routes","app (no not-found.tsx, error.tsx, or loading.tsx)","Missing/error/loading recovery uses framework defaults or is absent.","Unknown path correctly returned HTTP 404 and noindex, but only default Next UI was available and no route error/loading boundaries were found.","Add concise brand-consistent not-found and relevant error/loading recovery, especially around external merch/content data.","M","Yes","Owner copy/design approval","Open"
"F-020","P2","Content Quality","/merch","content/merch.ts:71,76,78","A merch item says Crewbeck, likely a credibility-affecting typo for Crewneck.","Visible fallback title, Shopify URL slug, and image alt all contain Crewbeck while category/description say Crewneck.","Confirm official product naming, then correct Shopify source data and local fallback/alt text together.","S","Yes","Owner/Shopify catalog approval","Open"
"F-021","P2","Operations / Monitoring","All; API routes","No analytics or monitoring integration found","There is no production analytics, real-user performance telemetry, or error monitoring.","Repository search and runtime inspection found no analytics/tracking/error-monitoring integration.","Add privacy-appropriate error/availability monitoring early; add analytics only after privacy/cookie review and owner decision.","M","Yes","Monitoring/analytics account and privacy approval","Open"
"F-022","P3","Architecture / Cleanup","Unused legacy surfaces","components/sections; components/ui","Several legacy components appear unreferenced; one missing referenced WAV belongs to unused Hero.","Manual import/reference scan found Hero, FeaturedRelease, HomepageMerchSection, HomepageConnectSection, AboutPreview, StayConnected, MerchPreview, BroeyAudioPlayer, and ActionLinkGrid only self-referenced. Knip was unavailable.","Confirm with installed dead-code tooling, then remove, archive, or document intentionally retained components/assets.","M","Yes","Owner retention decision","Open"
"F-023","P3","SEO Maintenance","/sitemap.xml","app/sitemap.ts","Sitemap lastModified values represent request time rather than content modification time.","The sitemap generates current timestamps, making every URL appear newly modified on every request.","Use explicit content/release modification dates and stable timestamps.","S","Yes","Content date source","Open"
"F-024","P3","Deployment Hygiene","Build/deploy","package.json; .vercelignore; next.config.js","Runtime/build context policy is under-specified.","No package engines/runtime pin exists; reports/scripts/data remain in Vercel source upload; deprecated output tracing config warns during checks.","Pin a supported Node version, remove deprecated config, and reduce build context after confirming scripts/data are not required.","M","Yes","Vercel build/runtime decision","Open"
"F-025","P3","Future Scope","/services; /studio","No route files found","Services and Studio routes/sections do not exist.","No current header/footer/navigation or core copy promises these surfaces, so their absence is not a broken V1 journey.","Keep deferred until the offering and content are approved; do not add placeholder navigation.","XL","Yes","Owner business/content scope","Deferred"
